Source_Node_u,Target_Node_v,Weight_Distance_km,Highway_Type,Is_Oneway
6662355785,6662719078,0.13425301176958224,secondary,False
8179214826,11309763250,0.0067986499457247055,service,False
8179214826,11309763251,0.021291442762850638,service,False
8179214870,103006224,0.013860452547359828,secondary,False
12005960377,12005960376,0.018333742234119318,residential,False
12005960377,12005960378,0.03314341999757371,residential,False
448040867,7984241320,0.01920354883298093,tertiary,False
448040867,9967217671,0.023342563661297614,tertiary,False
448040867,10126209538,0.00931659648609607,residential,False
12976450508,12123370716,0.009622216789498587,service,False
12976450508,7128182170,0.002295455477016926,service,False
12976450508,12976450509,0.018761712014564738,service,False
10139319732,13008625309,0.010424061714401597,residential,False
10139319732,13008558085,0.003140061920269454,residential,False
7984241320,10126209679,0.01001387671925933,tertiary,False
7984241320,448040867,0.01920354883298093,tertiary,False
11104946583,11104946594,0.029912726494148324,service,False
11104946583,8407730166,0.01875005092645161,service,False
10705823407,10705823406,0.0051662672217268266,service,False
10705823407,10705823408,0.008026257914204612,service,False
11276707396,11276707395,0.009285455323165008,service,False
11276707396,11276707397,0.008195242030638782,service,False
11702685610,11702685609,0.009187925534626627,service,False
11702685610,11702685611,0.011160366829211987,service,False
11702685610,11702685612,0.010157404493123353,service,False
11773533713,319490535,0.00829205853047495,residential,False
11773533713,319490537,0.008988842374983009,residential,False
8259084544,8259084545,0.006131531211332919,service,False
8259084544,8259084543,0.03558841788180055,service,False
8259084484,9766563943,0.015189234548545334,residential,False
8259084484,9766563980,0.015055899230852855,residential,False
8259084484,8259084485,0.06329964939794598,service,False
13008558089,13008558088,0.030188651045310416,residential,False
13008558089,13008558090,0.015570627941250019,residential,False
13008558089,13008625318,0.04389169305530498,service,False
11188440447,11188440457,0.0018625731090040987,service,False
11188440447,8340918655,0.034239693831957595,service,False
10134947975,8831342426,0.0032803981516141907,residential,False
10134947975,8272696678,0.02898997442618028,residential,False
12723532362,8831339635,0.05083028496119386,residential,False
10255038734,10255038742,0.03563272012664507,service,False
10255038734,7135368428,0.026312264905559005,service,False
10255038734,10255038733,0.009167137708720746,service,False
5706922886,7823457837,0.03177715849550507,tertiary,False
5706922886,8194665287,0.006204874451227837,service,False
7135368435,7135366861,0.00395807904952077,service,False
7135368435,7135368415,0.005408748312772166,service,False
7135368435,7135368436,0.027661658527223604,service,False
11774805965,13103080870,0.014009569696927295,service,False
11774805965,11774805960,0.036343405400281074,service,False
11774805965,11774805957,0.01235311298324711,service,False
98020217,98020220,0.013379403404682782,secondary,False
10142638719,5704543860,0.003929627246215472,residential,False
10142638719,320410409,0.010287958995751845,residential,False
11143446903,11149933876,0.02830463247930028,residential,False
11143446903,322505706,0.004694997018871287,residential,False
11143446903,11143446904,0.04279209827742915,service,False
8341096623,8341096621,0.0014968860246855297,service,False
8341096623,8341096632,0.014118070101759488,service,False
6689486578,103046082,0.010272017015289965,tertiary,False
6689486578,102992073,0.02208570891448535,tertiary,False
7132745620,12154970207,0.007680390422932539,service,False
7132745620,7132745621,0.026512962253796932,service,False
7132745620,7132745635,0.028926062575118018,service,False
12960612937,12960612936,0.0031973239938932565,service,False
12960612937,12960612940,0.0016602271268604703,service,False
8277274672,8277274673,0.0201770793955136,service,False
8277274672,12960612936,0.00877946351637643,service,False
8334953155,8334953156,0.01458929235348034,service,False
8334953155,13047569454,0.010496945391689284,service,False
6688284335,6688284334,0.007039013885593867,service,False
6688284335,4023468616,0.008106435797123602,service,False
12976450512,12976450514,0.0007578126245769941,service,False
12976450512,12976450511,0.011038850918314545,service,False
11507287736,11507287735,0.004972536482782466,service,False
11507287736,11507287740,0.015881911854370576,service,False
11188440456,11101880533,0.0022842274099450378,service,False
11188440456,11188440454,0.0019551433561251635,service,False
12154970214,12154970215,0.005979534434406099,service,False
12154970214,12154970213,0.0018674677393956667,service,False
10139319728,8121001002,0.05232456357825785,primary,False
5707599745,5707599746,0.047718679729886394,service,False
5707599745,5707599744,0.03965369647106399,service,False
12960612940,12960612937,0.0016602271268604703,service,False
12960612940,12960612938,0.0016570768677459196,service,False
4902374735,5843520141,0.010034895848991152,tertiary,False
4902374735,10142034260,0.029879922814378432,tertiary,False
5684393991,5684393990,0.022116670909701697,service,False
13680910879,13680910874,0.005653133491800437,service,False
13680910879,13680910878,0.0012932797950840735,service,False
13680910879,13680910880,0.013317067260131113,service,False
9554441383,9554441384,0.016215751749376763,service,False
9554441383,6418622267,0.006876659189213818,service,False
10126209545,5684329917,0.007083877445554735,service,False
10126209545,5684329915,0.012755278883112321,service,False
12145863417,12145863418,0.003798016568705454,service,False
12145863417,12145863416,0.00302674389936914,service,False
12145862642,12145862643,0.0033482951356269245,service,False
12145862642,12145862641,0.0033691202322924073,service,False
2276765907,8259084622,0.03673382640858989,residential,False
2276765907,1905193322,0.03312640892071293,residential,False
2276765907,2276765909,0.052654991973417345,service,False
11774805957,11774805966,0.015769459703438075,service,False
11774805957,11774805958,0.03687243710346723,service,False
11774805957,11774805965,0.01235311298324711,service,False
2302090853,2302090839,0.04809783602468287,service,False
5684393982,10137277706,0.05512179748685619,service,False
