Node_ID,Lat,Lon
738,21.0072896,105.8453677
739,21.0152285,105.8575281
740,21.0075696,105.845286
741,21.0152313,105.8478967
742,21.005141,105.8591884
743,21.0097706,105.8642427
744,21.004262,105.8454383
745,21.0086127,105.849039
746,21.011951,105.8606583
747,21.0102664,105.8655182
748,21.0152083,105.8522674
749,21.0200667,105.8616141
750,21.0191922,105.8355001
751,21.004457,105.8637836
752,21.0063297,105.8602171
753,21.0098882,105.8661677
754,21.0025977,105.8447285
755,21.0183662,105.855011
756,21.0179013,105.8584719
757,21.0127196,105.8570279
758,21.006463,105.8489665
759,21.0095577,105.8397918
760,21.0110754,105.8503614
761,21.0050672,105.8496358
762,21.0089613,105.8606824
763,21.0211556,105.8580477
764,21.0112217,105.8617676
765,21.0069783,105.8465681
766,21.0061809,105.8525281
767,21.0039093,105.8528195
768,21.0057112,105.8526948
769,21.0147234,105.8405347
770,21.0120849,105.8578111
771,21.0090929,105.8539878
772,21.0185681,105.8612319
773,21.0055973,105.8551822
774,21.0099404,105.8570447
775,21.0118702,105.8490185
776,21.0092763,105.8607729
777,21.0041181,105.8436958
778,21.0097837,105.8499467
779,21.0071981,105.8425445
780,21.0066755,105.8652475
781,21.0051748,105.8530426
782,21.0065554,105.8627864
783,21.0138388,105.8644911
784,21.018735,105.8541345
785,21.004915,105.8557203
786,21.0096774,105.8620208
787,21.0095086,105.8579262
788,21.0130276,105.8388492
789,21.0171358,105.8385527
790,21.0135367,105.8596492
791,21.0131624,105.8535962
792,21.0215768,105.8430364
793,21.0120146,105.8461015
794,21.0108589,105.8585457
795,21.0223664,105.8604115
796,21.0085599,105.8519979
797,21.0059308,105.856062
798,21.0111848,105.8617151
799,21.0120371,105.8637679
800,21.0229623,105.854508
801,21.0086009,105.8562533
802,21.023307,105.846331
803,21.0170352,105.8485651
804,21.0082779,105.8634401
805,21.0050536,105.8423417
806,21.0072029,105.8654055
807,21.0038125,105.8460578
808,21.0126355,105.8464683
809,21.0153725,105.8652316
810,21.0054383,105.8587539
811,21.0072219,105.8619556
812,21.007575,105.8435564
813,21.008153,105.8415639
814,21.0099572,105.8611758
815,21.0068097,105.8564045
816,21.0205994,105.8572767
817,21.0071923,105.8647154
818,21.0137164,105.864785
819,21.0133794,105.8591736
820,21.0128326,105.8564197
821,21.0076592,105.8626814
822,21.0092818,105.8395317
823,21.0099291,105.8467779
824,21.0124855,105.8574262
825,21.006176,105.8485676
826,21.0100807,105.8640372
827,21.0136387,105.8629134
828,21.0178174,105.8615515
829,21.0098917,105.8661697
830,21.0108461,105.8527772
831,21.0067958,105.86137
832,21.0191635,105.8581842
833,21.0182303,105.8584108
834,21.0197707,105.8617484
835,21.005884,105.8646534
836,21.0219614,105.8438313
837,21.0228436,105.8591945
838,21.0121542,105.8615752
839,21.005436,105.8427713
840,21.0136534,105.8576459
841,21.013124,105.8571513
842,21.0167402,105.8648203
843,21.0070672,105.863828
844,21.0063266,105.8633888
845,21.0188823,105.840549
846,21.0089011,105.8562548
847,21.0048799,105.8651349
848,21.0178481,105.8619218
849,21.0022024,105.8447894
850,21.0085278,105.8522637
851,21.0176623,105.839139
852,21.0154971,105.8553075
853,21.0100806,105.8410147
854,21.0044045,105.8577686
855,21.0079698,105.8647755
856,21.0069147,105.849544
857,21.0091965,105.8555373
858,21.0190826,105.8473824
859,21.006309,105.8457577
860,21.0105301,105.8656865
861,21.0227183,105.8507188
862,21.003578,105.852212
863,21.0032602,105.8446805
864,21.0136746,105.8396116
865,21.0107817,105.8572143
866,21.0078411,105.8506448
867,21.0203177,105.8618762
868,21.003302,105.8479353
869,21.0096151,105.8643427
870,21.0052541,105.8470921
871,21.005268,105.8533473
872,21.0113547,105.8524414
873,21.0089413,105.8627719
874,21.0157404,105.8564742
875,21.0118039,105.8534552
876,21.0108414,105.8490805
877,21.0114193,105.8508498
878,21.0137129,105.8517066
879,21.020049,105.8459029
880,21.021225,105.8580998
881,21.0178707,105.8573656
882,21.0086156,105.8535204
883,21.0148236,105.8621818
884,21.0087445,105.865388
885,21.0139743,105.8396354
886,21.00589,105.8472977
887,21.008521,105.8514087
888,21.0111798,105.8562273
889,21.0082001,105.8550471
890,21.0226215,105.8459699
891,21.0112265,105.8463931
892,21.0175037,105.8387081
893,21.0188848,105.8394118
894,21.0114706,105.8608887
895,21.0095932,105.8539908
896,21.0098717,105.8539607
897,21.0071466,105.8647562
898,21.0107846,105.8404577
899,21.0145653,105.8400484
900,21.0223442,105.8446434
901,21.0080118,105.8408887
902,21.0158141,105.8648904
903,21.023355,105.8594231
904,21.0078641,105.8411087
905,21.0145861,105.8413066
906,21.022918,105.8516533
907,21.0118669,105.849114
908,21.013738,105.8632826
909,21.0165142,105.8636101
910,21.0114226,105.8608541
911,21.0118633,105.8619699
912,21.0122256,105.8635845
913,21.0225744,105.8447206
914,21.0132433,105.8474309
915,21.0069943,105.8606188
916,21.0136102,105.8518861
917,21.0072677,105.8453786
918,21.0085569,105.8501936
919,21.0178289,105.8575316
920,21.0060182,105.8493922
921,21.0190655,105.8528249
922,21.0137846,105.8575736
923,21.0191707,105.8628494
924,21.0106624,105.8398955
925,21.0165417,105.8574104
926,21.0074648,105.8620268
927,21.0041698,105.8543524
928,21.0078143,105.8430844
929,21.0037839,105.8449428
930,21.0205139,105.8538535
931,21.0094341,105.8652941
932,21.0219708,105.8613424
933,21.0214278,105.8521047
934,21.0166293,105.8420934
935,21.0186894,105.850272
936,21.0232754,105.8460266
937,21.0113634,105.8654719
938,21.0075286,105.8438946
939,21.0231453,105.84714
940,21.0096726,105.8539844
941,21.0068534,105.863516
942,21.0175396,105.8423156
943,21.0068619,105.8517799
944,21.0128658,105.8561272
945,21.0058953,105.8646213
